s;Players
20.10.2019 00:00;3195
21.10.2019 00:00;2370
22.10.2019 00:00;2216
23.10.2019 00:00;2102
24.10.2019 00:00;2548
25.10.2019 00:00;2721
26.10.2019 00:00;2753
27.10.2019 00:00;2774
28.10.2019 00:00;1851
29.10.2019 00:00;1947
30.10.2019 00:00;1920
31.10.2019 00:00;2229
01.11.2019 00:00;2199
02.11.2019 00:00;2603
03.11.2019 00:00;2634
04.11.2019 00:00;1933
05.11.2019 00:00;1794
06.11.2019 00:00;1722
07.11.2019 00:00;2039
08.11.2019 00:00;2030
09.11.2019 00:00;2298
10.11.2019 00:00;2393
11.11.2019 00:00;2045
12.11.2019 00:00;1571
13.11.2019 00:00;1630
14.11.2019 00:00;1966
15.11.2019 00:00;1774
16.11.2019 00:00;2160
17.11.2019 00:00;2268
18.11.2019 00:00;1698
19.11.2019 00:00;1528
20.11.2019 00:00;1476
21.11.2019 00:00;3251
22.11.2019 00:00;3589
23.11.2019 00:00;4208
24.11.2019 00:00;4450
25.11.2019 00:00;3424
26.11.2019 00:00;3662
27.11.2019 00:00;3569
28.11.2019 00:00;3738
29.11.2019 00:00;4486
30.11.2019 00:00;4510
01.12.2019 00:00;4615
02.12.2019 00:00;3415
03.12.2019 00:00;3002
04.12.2019 00:00;2751
05.12.2019 00:00;3144
06.12.2019 00:00;3891
07.12.2019 00:00;4222
08.12.2019 00:00;4262
09.12.2019 00:00;3298
10.12.2019 00:00;3014
11.12.2019 00:00;2844
12.12.2019 00:00;3016
13.12.2019 00:00;2822
14.12.2019 00:00;3382
15.12.2019 00:00;3503
16.12.2019 00:00;2569
17.12.2019 00:00;3040
18.12.2019 00:00;2849
19.12.2019 00:00;3199
20.12.2019 00:00;3274
21.12.2019 00:00;3867
22.12.2019 00:00;4019
23.12.2019 00:00;3415
24.12.2019 00:00;2756
25.12.2019 00:00;3181
26.12.2019 00:00;3841
27.12.2019 00:00;4212
28.12.2019 00:00;4740
29.12.2019 00:00;5091
30.12.2019 00:00;4522
31.12.2019 00:00;3843
01.01.2020 00:00;5040
02.01.2020 00:00;4686
03.01.2020 00:00;4353
04.01.2020 00:00;4760
05.01.2020 00:00;4766
06.01.2020 00:00;3522
07.01.2020 00:00;3232
08.01.2020 00:00;2970
09.01.2020 00:00;3286
10.01.2020 00:00;3383
11.01.2020 00:00;4065
12.01.2020 00:00;4232
13.01.2020 00:00;2812
14.01.2020 00:00;2607
15.01.2020 00:00;2422
16.01.2020 00:00;2684
17.01.2020 00:00;2943
18.01.2020 00:00;3569
19.01.2020 00:00;3574
20.01.2020 00:00;2889
21.01.2020 00:00;2505
22.01.2020 00:00;2304
23.01.2020 00:00;2582
24.01.2020 00:00;3056
25.01.2020 00:00;3970
26.01.2020 00:00;4399
27.01.2020 00:00;3451
28.01.2020 00:00;3183
29.01.2020 00:00;3052
30.01.2020 00:00;5245
31.01.2020 00:00;4816
01.02.2020 00:00;5688
02.02.2020 00:00;5707
03.02.2020 00:00;3994
04.02.2020 00:00;3540
05.02.2020 00:00;3456
06.02.2020 00:00;4176
07.02.2020 00:00;4374
08.02.2020 00:00;5074
09.02.2020 00:00;5197
10.02.2020 00:00;3520
11.02.2020 00:00;3339
12.02.2020 00:00;3154
13.02.2020 00:00;3478
14.02.2020 00:00;3118
15.02.2020 00:00;4341
16.02.2020 00:00;4267
17.02.2020 00:00;3331
18.02.2020 00:00;2912
19.02.2020 00:00;2695
20.02.2020 00:00;2886
21.02.2020 00:00;3283
22.02.2020 00:00;3806
23.02.2020 00:00;4076
24.02.2020 00:00;3017
25.02.2020 00:00;2669
26.02.2020 00:00;2539
27.02.2020 00:00;5367
28.02.2020 00:00;12331
29.02.2020 00:00;19502
01.03.2020 00:00;20120
02.03.2020 00:00;13586
03.03.2020 00:00;9971
04.03.2020 00:00;9884
