s;Players
13.08.2017 00:00;9
14.08.2017 00:00;6
15.08.2017 00:00;9
16.08.2017 00:00;6
17.08.2017 00:00;12
18.08.2017 00:00;9
19.08.2017 00:00;10
20.08.2017 00:00;9
21.08.2017 00:00;7
22.08.2017 00:00;8
23.08.2017 00:00;6
24.08.2017 00:00;5
25.08.2017 00:00;10
26.08.2017 00:00;8
27.08.2017 00:00;7
28.08.2017 00:00;202
29.08.2017 00:00;135
30.08.2017 00:00;85
31.08.2017 00:00;77
01.09.2017 00:00;56
02.09.2017 00:00;67
03.09.2017 00:00;55
04.09.2017 00:00;45
05.09.2017 00:00;36
06.09.2017 00:00;26
07.09.2017 00:00;21
08.09.2017 00:00;26
09.09.2017 00:00;31
10.09.2017 00:00;34
11.09.2017 00:00;25
12.09.2017 00:00;16
13.09.2017 00:00;18
14.09.2017 00:00;18
15.09.2017 00:00;25
16.09.2017 00:00;30
17.09.2017 00:00;26
18.09.2017 00:00;14
19.09.2017 00:00;16
20.09.2017 00:00;18
21.09.2017 00:00;15
22.09.2017 00:00;19
23.09.2017 00:00;26
24.09.2017 00:00;22
25.09.2017 00:00;16
26.09.2017 00:00;15
27.09.2017 00:00;11
28.09.2017 00:00;15
29.09.2017 00:00;32
30.09.2017 00:00;42
01.10.2017 00:00;27
02.10.2017 00:00;15
03.10.2017 00:00;16
04.10.2017 00:00;16
05.10.2017 00:00;12
06.10.2017 00:00;19
07.10.2017 00:00;21
08.10.2017 00:00;13
09.10.2017 00:00;10
10.10.2017 00:00;10
11.10.2017 00:00;11
12.10.2017 00:00;13
13.10.2017 00:00;10
14.10.2017 00:00;12
15.10.2017 00:00;9
16.10.2017 00:00;9
17.10.2017 00:00;10
18.10.2017 00:00;9
19.10.2017 00:00;7
20.10.2017 00:00;13
21.10.2017 00:00;13
22.10.2017 00:00;8
23.10.2017 00:00;6
24.10.2017 00:00;15
25.10.2017 00:00;14
26.10.2017 00:00;13
27.10.2017 00:00;12
28.10.2017 00:00;9
29.10.2017 00:00;9
30.10.2017 00:00;18
31.10.2017 00:00;16
01.11.2017 00:00;14
02.11.2017 00:00;11
03.11.2017 00:00;23
04.11.2017 00:00;14
05.11.2017 00:00;11
06.11.2017 00:00;12
07.11.2017 00:00;8
08.11.2017 00:00;5
09.11.2017 00:00;13
10.11.2017 00:00;12
11.11.2017 00:00;10
12.11.2017 00:00;14
13.11.2017 00:00;10
14.11.2017 00:00;11
15.11.2017 00:00;6
16.11.2017 00:00;8
